Wahl, Wahlberechtigte, Fakultaet, Urne, Stimmzettel, Ungueltige Stimmzettel, Ungueltige Listenstimmen, Enthaltungen Listenstimmen, Ungueltige Kandidatenstimmen, Enthaltungen Kandidatenstimmen
Ausländer, 3466, AKK, 1, 3, 1, 0, 0, 0, 0
Ausländer, 3466, AKK, 2, 4, 0, 0, 0, 0, 0
Ausländer, 3466, Audimax, 1, 6, 0, 0, 0, 0, 1
Ausländer, 3466, Chemie/Bio, 1, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Chemie/Bio, 2, 0, , , , , 
Ausländer, 3466, ETEC, 1, 2, 0, 0, 0, 0, 0
Ausländer, 3466, ETEC, 2, 4, 0, 0, 0, 0, 0
Ausländer, 3466, ETEC, 3, 5, 0, 0, 0, 0, 0
Ausländer, 3466, ETEC, 4, 5, 0, 0, 0, 0, 0
Ausländer, 3466, ETEC, 5, 5, 0, 0, 0, 0, 1
Ausländer, 3466, ETEC, 6, 9, 0, 0, 0, 0, 1
Ausländer, 3466, ETEC, 7, 10, 0, 0, 0, 0, 0
Ausländer, 3466, GeistSoz, 1, 3, 0, 0, 0, 0, 0
Ausländer, 3466, GeistSoz, 2, 4, 0, 0, 0, 0, 0
Ausländer, 3466, GeistSoz, 3, 0, 0, 0, 0, 0, 0
Ausländer, 3466, GeistSoz, 4, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Geo, 1, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Geo, 2, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Gerthsen, 1, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Gerthsen, 2, 0, , , , , 
Ausländer, 3466, HMU, 1, 9, 0, 0, 0, 0, 0
Ausländer, 3466, Info, 2, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Info, 3, 4, 0, 0, 0, 0, 0
Ausländer, 3466, Info, 4, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Info, 5, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 1, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 2, 4, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 3, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 4, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 5, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 6, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Mach/CIW, 7, 0, , , , , 
Ausländer, 3466, Mach/CIW, 8, 0, , , , , 
Ausländer, 3466, Mach/CIW, 9, 0, , , , , 
Ausländer, 3466, Mach/CIW, 10, 0, , , , , 
Ausländer, 3466, Mathe, 1, 9, 0, 0, 0, 0, 2
Ausländer, 3466, Mathe, 2, 2, 0, 0, 0, 0, 1
Ausländer, 3466, Mathe, 3, 4, 0, 0, 0, 0, 0
Ausländer, 3466, Mathe, 4, 3, 0, 0, 0, 0, 0
Ausländer, 3466, Mathe, 5, 6, 0, 0, 0, 0, 0
Ausländer, 3466, Mathe, 6, 0, , , , , 
Ausländer, 3466, Mensa, 1, 6, 0, 0, 0, 0, 0
Ausländer, 3466, Mensa, 2, 5, 0, 0, 0, 0, 2
Ausländer, 3466, Mensa, 3, 12, 0, 0, 0, 0, 0
Ausländer, 3466, Mensa, 4, 13, 0, 0, 0, 0, 0
Ausländer, 3466, Mobil, 1, 29, 0, 0, 0, 0, 1
Ausländer, 3466, Physik, 1, 4, 1, 0, 0, 0, 1
Ausländer, 3466, Physik, 3, 1, 0, 0, 0, 0, 0
Ausländer, 3466, Physik, 4, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Physik, 5, 2, 0, 0, 0, 0, 0
Ausländer, 3466, RZ, 1, 0, , , , , 
Ausländer, 3466, Westhochschule, 1, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 1, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 2, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 3, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 4, 4, 0, 0, 0, 0, 1
Ausländer, 3466, Wiwi, 5, 0, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 6, 2, 0, 0, 0, 0, 0
Ausländer, 3466, Wiwi, 7, 0, , , , , 
Ausländer, 3466, Wiwi, 8, 0, , , , , 
Frauen, 5691, AKK, 1, 36, 0, 0, 0, 0, 1
Frauen, 5691, AKK, 2, 22, 0, 0, 0, 0, 0
Frauen, 5691, Audimax, 1, 10, 0, 0, 0, 1, 0
Frauen, 5691, Chemie/Bio, 1, 30, 0, 0, 0, 0, 0
Frauen, 5691, Chemie/Bio, 2, 0, , , , , 
Frauen, 5691, ETEC, 1, 3, 0, 0, 0, 0, 0
Frauen, 5691, ETEC, 2, 1, 0, 0, 0, 0, 0
